Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2023-11-14 10:18:59,false,"Manor Cycling","31.06","1,413","01:54:15","150","181","16.3","35.0","1,398","1,286","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","73.4","No","00:03:46.3","7","87.8","01:53:26","02:19:54","509","715"
Cycling,2023-10-23 08:34:32,false,"Manor Cycling","31.11","1,093","01:54:50","133","181","16.3","33.9","1,161","1,083","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:03:47.2","7","84.2","01:54:02","02:20:26","373","626"
Cycling,2023-10-19 09:11:34,false,"Manor Cycling","31.10","1,330","01:48:11","150","178","17.2","32.0","1,368","1,273","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:03:20.4","7","86.0","01:47:44","02:01:07","423","706"
Cycling,2023-10-17 10:51:52,false,"Manor Cycling","31.08","1,316","01:48:15","149","176","17.2","34.3","1,161","1,132","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:03:41.4","7","80.6","01:47:35","02:05:21","447","667"
Cycling,2023-10-06 07:33:54,false,"Manor Cycling","31.10","1,411","01:50:47","154","178","16.8","33.9","1,621","1,673","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","75.2","No","00:03:52.1","7","86.0","01:49:43","02:10:33","355","625"
Cycling,2023-09-20 07:32:16,false,"Manor Cycling","31.05","1,235","01:44:55","146","173","17.8","34.9","1,568","1,578","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:03:59.9","7","87.8","01:44:10","02:00:25","278","665"
Cycling,2023-09-18 07:26:07,false,"Manor Cycling","31.05","1,256","01:48:42","144","174","17.1","34.3","1,539","1,496","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","71.6","No","00:03:49.4","7","86.0","01:47:44","02:05:24","406","758"
Cycling,2023-09-14 07:31:40,false,"Manor Cycling","31.32","1,106","01:50:42","136","174","17.0","31.6","1,407","1,371","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","77.0","No","00:04:42.8","7","84.2","01:49:08","02:08:00","427","741"
Cycling,2023-09-10 07:34:51,false,"Livestrong Cycling Challenge","97.21","3,806","05:57:44","152","178","16.3","35.6","5,341","5,459","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:08:03.8","20","100.4","05:55:13","07:34:55","402","1,170"
Cycling,2023-09-06 07:22:21,false,"Manor Cycling","30.89","1,192","01:48:27","141","175","17.1","33.1","1,729","1,696","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","78.8","No","00:03:52.7","7","93.2","01:47:47","02:10:30","561","854"
Cycling,2023-09-05 07:18:58,false,"Manor Cycling","31.06","1,168","01:53:33","138","173","16.4","35.0","1,864","1,716","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","82.4","No","00:04:35.9","7","91.4","01:52:48","02:09:09","406","791"
Cycling,2023-09-04 07:26:21,false,"Manor Cycling","30.74","1,136","01:49:49","137","176","16.8","34.8","1,490","1,637","NaN","NaN","NaN","NaN","0.0","NaN","NaN","NaN","NaN","NaN","80.6","No","00:03:21.8","7","87.8","01:48:59","02:22:40","263","614"
